PAPI_BR_CN,PAPI_BR_INS,PAPI_BR_MSP,PAPI_BR_NTK,PAPI_BR_PRC,PAPI_BR_TKN,PAPI_BR_UCN,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_CA_SHR,PAPI_CA_SNP,PAPI_FUL_CCY,PAPI_FUL_ICY,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L1_TCM,PAPI_L2_DCA,PAPI_L2_DCM,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L2_ICA,PAPI_L2_ICH,PAPI_L2_ICM,PAPI_L2_ICR,PAPI_L2_LDM,PAPI_L2_STM,PAPI_L2_TCA,PAPI_L2_TCM,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_DCA,PAPI_L3_DCR,PAPI_L3_DCW,PAPI_L3_ICA,PAPI_L3_ICR,PAPI_L3_LDM,PAPI_L3_TCA,PAPI_L3_TCM,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_LD_INS,PAPI_LST_INS,PAPI_MEM_WCY,PAPI_NATIVE_MASK,PAPI_PRESET_MASK,PAPI_PRF_DM,PAPI_REF_CYC,PAPI_RES_STL,PAPI_SR_INS,PAPI_STL_CCY,PAPI_STL_ICY,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_TOT_CYC,PAPI_TOT_INS,PAPI_VEC_DP,PAPI_VEC_SP
61116295,92983337,90958,33194805,57874644,24975798,30156215,532,39119,10621,38469,88208793,47358149,86890,5370787,245688,3670,5468778,5462467,11614,61638,6361,5355337,5377645,27062,5342031,7287,508,11003314,39291,5401041,6577,11645,7292,541,27098,27098,12,38770,178,38688,562,112182995,178335124,5339,153059921,292345,4575,137670840,455382,66142904,37746519,9281414,3011,1794,151583011,399756226,4,650013
467045551,709363200,604027,262644605,462516616,202125786,241006548,556,39101,10705,38590,703336064,377042734,66151,43494394,67759,5344,43840527,43832924,11813,53238,8846,43646266,43549137,27858,43769268,7345,574,87171152,39076,43665450,9862,11593,7329,560,27051,27051,3,38986,312,38752,543,899982401,1430384949,5351,1205195899,82826,4102,1092319920,2572855,530392923,292858308,71415433,25379,2820,1200748604,3193300814,4,5200020
61352240,93319650,92442,33043122,58128336,25375288,30306223,530,39457,10810,38906,88075033,47517515,54312,5614172,46307,4109,5642981,5637000,11918,44459,6868,5617723,5662456,27386,5588653,7264,534,11285102,39358,5680518,7133,11979,7229,532,27502,27502,1,39153,98,39606,530,113181644,179833524,3831,152552259,56966,4104,138124440,434344,66642815,37386864,9732756,4809,1914,152221371,401346061,4,650020
386659581,597528352,586476,223546913,382468974,160776765,209507664,557,39532,11039,39278,596433468,325787327,67691,32652803,95078,6047,33189719,33180955,11976,51790,10015,32825641,32134218,27305,32562486,7359,572,63996355,39909,32677629,8291,12188,7299,587,27138,27138,2,39773,182,39434,591,760288217,1219543879,6014,1015310651,131245,4231,924253200,2030050,459246225,245815774,58362215,19133,1970,1015350535,2692269592,4,4550020
416069010,630436345,561960,234043966,411825399,179675752,213006389,534,39055,10792,39205,616730222,330345020,289503,26830772,76619,10028,26896499,26886257,12020,58807,14255,26888979,24362775,27316,26793575,7346,560,49226013,39150,26925675,43575,11785,7319,540,27080,27080,10,39375,192,38657,565,795282507,1260135486,7559,1061714650,2176002,4344,964964880,2265669,464843307,254017296,58190847,11760,2100,1088756442,2828047181,4,4550020
348117794,529135306,440051,196445733,344045282,149225954,179606455,551,38994,10579,38715,524060325,279774130,1626276,31264370,68487,4761,31370520,31361486,11783,51332,8770,31217924,31258497,27531,31274486,7444,558,63623353,39101,31353720,8530,11872,7532,565,27722,27722,4,39450,244,38728,550,669183064,1064085698,5431,901658382,93390,4182,813159480,1785058,394892894,214943149,49646082,11357,1913,889959147,2377001539,4,3900020
654656385,991524089,949982,370393631,649552361,282275770,335156659,581,40551,11246,39626,975386909,521589280,79022,39096415,393618,6283,39165463,39156728,12995,63485,10858,39228130,39109782,27345,39268241,7321,589,78848569,39777,39376494,76197,12242,7467,578,28608,28608,1,40297,154,40231,610,1249283017,1979533529,8997,1676667802,476842,4045,1523491800,3841055,730243732,397432630,89776855,17641,2692,1676532197,4459152934,4,7150013
291933374,443600698,429199,164994478,287948047,124375950,149956588,540,39303,10898,38750,439232139,235197210,165755,26092888,1052197,4353,26298368,26287654,12123,160821,7934,26221771,26070524,27402,26017254,7295,525,53221916,40097,26278654,7939,11896,7409,566,27473,27473,4,40119,163,39183,553,559289956,889697067,3670,799190204,2358581,4389,721159560,4363368,330397847,226501179,50876267,6522,1969,797138077,1992531861,4,3250013
236256434,358775943,971313,132046069,232196979,101527434,120808600,563,40508,11063,39133,351933425,193721383,793846,22690977,839716,80243,23149216,23142174,12023,433942,11538,22762200,22681540,27510,22729332,7309,537,46324209,39693,23030506,498328,12354,7368,574,27260,27260,7,39763,153,39084,571,451589729,717997124,6249,636511697,1234266,4401,578832000,3613028,266397703,174243243,41733275,15855,1973,635638098,1606929012,4,2600013
168454342,260224008,741234,96396603,164682798,69277347,90058604,531,39650,11084,39066,255713875,142917046,1569309,14841765,1075835,11695,14221718,14207666,11910,68670,23153,14135220,15860267,27605,14629411,7373,545,30052445,39228,14257263,257009,11975,7336,538,26992,26992,14,38968,143,38490,537,327189431,524996232,5838,465186190,1648865,4077,423269640,2839895,197797198,129029893,28704571,8006,2010,464781146,1162028456,4,1950013
